Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference
12/11/2024,Tier 1,Columbia Solar Energy Center,RESRFP21-1,,,,Yes,,Solar,New,,"Columbia Solar Energy Center, LLC",EDF Renewables Development,20,80,Mohawk Valley,,857,ORES,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=19-F-0639,,13357,Herkimer,NY,Mohawk Valley,Cancelled,,,20,350,350,646926,776311,,,,POINT (-75.04217 43.0184)
12/11/2024,OREC,Community Offshore Wind 1,ORECRFP22-1,,,,,,Offshore Wind,New,,,RWE Offshore Renewables and National Grid Ventures,,,,,,Article 7,https://www.boem.gov/renewable-energy/state-activities/community-offshore-wind-ocs-0539,,,,,,Cancelled,,,25,1314,1314,,,5449329,,,
12/11/2024,Non-Tier 1,Community Refuse LFG,2389,,14.98,,,,Biogas - LFG,,,,,,,,,,,,,17257,,PA,,Completed,2012,2012,10,6.4,6.08,47402,47402,,,,POINT (-77.51692 40.05194)
12/11/2024,Non-Tier 1,DANC,2226,,26.00,,Yes,Yes,Biogas - LFG,,,,,,,Mohawk Valley,,,,,,13682,Jefferson,NY,North Country,Completed,2011,2011,10,4.8,4,19178,19178,,,,POINT (-75.94078 43.85022)
12/11/2024,Tier 1,Darby Solar,RESRFP17-1,,,76.31,Yes,,Solar,New,,"Darby Solar, LLC",MN8 Energy,,,Capital,323810,730,SEQR,,,12154,Washington,NY,Capital Region,Operational,2023,2023,20,20,19.99,36774,44128,,,,POINT (-73.58644 42.89705)
12/11/2024,Tier 1,Dog Corners Solar,RESRFP23-1,Yes,,99,,,Solar,New,,Dog Corners Solar NY LLC,Cordelio Power,,,Central,,584,SEQR,,,13026,Cayuga,NY,Central New York,Under Development,,2026,20,19.99,19.99,38955,46746,,,,POINT (-76.70294 42.75771)
12/11/2024,Tier 1,Dolan Solar,RESRFP20-1,,,59.85,Yes,,Solar,New,,"Dolan Solar, LLC",CS Energy,,,Capital,,833,SEQR,,,12828,Washington,NY,Capital Region,Cancelled,,,20,19.99,19.99,40276,48331,,,,POINT (-73.58658 43.26888)
12/11/2024,Tier 1,Dolgeville Hydro,RESRFP22-1,,,,Yes,,Hydroelectric,Existing,Return to Service,EONY Generation Limited,EONY Generation Limited,,,Mohawk Valley,,,,,,13329,Herkimer,NY,Mohawk Valley,Cancelled,,,20,5,5,17170,20604,,,,POINT (-74.77379 43.09996)
12/11/2024,Tier 1,Double Lock Solar,RESRFP17-1,,25.50,,,,Solar,New,,"Double Lock Solar, LLC",Cypress Creek Renewables,,,Capital,,,,,,13339,Montgomery,NY,Mohawk Valley,Cancelled,,,20,19.99,19.39,32103,38523,,,,POINT (-74.62332 42.93068)
12/11/2024,Non-Tier 1,Dutch Hill,1037,,13.86,,Yes,Yes,Land Based Wind,,,,,,,Central,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009,2009,10,37.5,4.3,8513,8513,,,,POINT (-77.51062 42.50697)
12/11/2024,Non-Tier 1,Dutch Hill*,1168,,16.50,,Yes,Yes,Land Based Wind,,,,,,,Central,323617,,,,,14826,Steuben,NY,Southern Tier,Completed,2009,2009,10,,11.3,28200,28200,,,,POINT (-77.51062 42.50697)
12/11/2024,Non-Tier 1,Eagle,1037,,9.00,,Yes,Yes,Hydroelectric,,,,,,,Mohawk Valley,10063,,,,,13327,Lewis,NY,North Country,Completed,2007,2008,10,0.5,0.5,2892,3181,,,,POINT (-75.39118 43.89781)
12/11/2024,Non-Tier 1,East Norfolk,1037,,9.97,,Yes,Yes,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,13667,St Lawrence,NY,North Country,Completed,2007,2008,10,0.9,0.9,5643,6207.299805,,,,POINT (-74.98356 44.80086)
12/11/2024,Tier 1,East Point Energy Center,RESRFP17-1,,,78.76,Yes,,Solar,New,,"East Point Energy Center, LLC",NextEra Energy Resources,,,Capital,323840,619,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-f-0599,,13459,Schoharie,NY,Mohawk Valley,Operational,2024,2024,20,50,50,109631,131557,,,,POINT (-74.61722 42.79531)
12/11/2024,Tier 1,Easton Solar Farm,RESRFP21-1,,,,Yes,,Solar,New,,Easton Solar LLC,Boralex,,,Capital,,1035,SEQR,,,12834,Washington,NY,Capital Region,Cancelled,,,20,20,20,38369,46042,,,,POINT (-73.49696 43.08752)
